05995F2/130.9,⿰古朋
05389F2/116.10,⿱㓁㼌
06986F2/154.8,⿰貝冐
00938F1/30.3,⿱口乇
03751F1/77.10,⿰⿱止石圣
06092F2/135.9,⿰曷舌
01751F1/38.8,⿱⿰牙攵女
04229F1/86.5,⿱夘灬
06247F2/140.9,⿳艹⿱亠儿
00697F1/18.8,⿰𧈧刂
03683F1/75.15,⿱⿰⿱医殳木
05921F2/126.17,⿰𦓔⿱少⿱𠂊兄
07005F2/154.12,⿰𠂤貴
03512F1/75.8,⿰林犬
08127F2/187.9,⿰馬弇
03146F1/72.4,⿱⿺𠃊凵日
02540F1/61.7,⿰忄⿱白𠀁
01932F1/40.15,⿰害空
07264F2/162.5,⿺辶⿱丷万
01940F1/40.19,⿰寧委
04089F1/85.12,⿰氵𦝃
05583F2/118.15,⿱箭衣
00263F1/9.6,⿰亻⿱术一
04902F2/106.13,⿰皇皇
05174F2/112.14,⿰石⿱⿰丙丙木
06587F2/142.9,⿱敃虫
01926F1/40.15,⿱宀⿰丿⿹𢦏非
06452F2/140.16,⿱艹縛
02160F1/46.15,⿰山履
04029F1/85.9,⿰氵枲
08162F2/188.8,⿰骨夜
02016F1/44.10,⿺尾衣
05381F2/116.8,⿱穴沫
02409F1/57.13,⿰弓亶
03814F1/78.14,⿰歹爾
01386F1/30.20,⿰口嚲
02817F1/64.7,⿰扌志
08063F2/184.15,⿰飠賞
04400F1/87.10,⿰尼爰
06634F2/142.16,⿰虫薄
06581F2/142.9,⿰虫食
06040F2/130.19,⿰慕胃
07094F2/157.9,⿰𧾷⿻垂一
06028F2/130.13,⿰莫肙
04890F2/106.7,⿰白⿱一曳
00574F1/14.13,⿰冥以
02974F1/64.15,⿰告掌
02017F1/44.10,⿺尾各
03091F1/70.5,⿰方甘
00421F1/9.16,⿰亻鴫
05756F2/120.13,⿰糸逸
06007F2/130.10,⿰弟肙
07556F2/167.9,⿰金胄
07587F2/167.11,⿰金處
08155F2/188.7,⿺克羽
02742F1/62.7,⿹戈㫖
02502F1/61.5,⿰忄弍
04381F1/86.20,⿰火蘆
01948F1/41.6,⿱地寸
07081F2/157.8,⿰𧾷⿱加寸
00316F1/9.8,⿰亻⿱加寸
02644F1/61.11,⿰忄商
06320F2/140.12,⿱艹棗
04873F2/106.3,⿱百丄
06656F2/145.2,⿱𠂉衣
03417F1/74.14,⿰月厭
